EventID,Date,Promotion,Event,EventName,EventType,Location,CityTown,StateProvince,Country
WWE-4409,2022-06-20,WWE,WWE Main Event,WWE Main Event #508,Televised,"Lincoln, Nebraska, USA",Lincoln,Nebraska,USA
WWE-4408,2022-06-19,WWE,WWE Sunday Stunner,WWE Sunday Stunner,Non-Televised,"Billings, Montana, USA",Billings,Montana,USA
WWE-4407,2022-06-18,WWE,WWE Saturday Night's Main Event,WWE Saturday Night's Main Event,Televised,"Rapid City, South Dakota, USA",Rapid City,South Dakota,USA
WWE-4406,2022-06-17,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1191,Televised,"Minneapolis, Minnesota, USA",Minneapolis,Minnesota,USA
WWE-4405,2022-06-13,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1516,Televised,"Wichita, Kansas, USA",Wichita,Kansas,USA
WWE-4404,2022-06-13,WWE,WWE Main Event,WWE Main Event #507,Televised,"Wichita, Kansas, USA",Wichita,Kansas,USA
WWE-4403,2022-06-12,WWE,WWE Sunday Stunner,WWE Sunday Stunner,Non-Televised,"Springfield, Missouri, USA",Springfield,Missouri,USA
WWE-4402,2022-06-12,WWE,WWE Sunday Stunner,WWE Sunday Stunner,Non-Televised,"Albuquerque, New Mexico, USA",Albuquerque,New Mexico,USA
WWE-4401,2022-06-11,WWE,WWE Saturday Night's Main Event,WWE Saturday Night's Main Event,Televised,"Las Cruces, New Mexico, USA",Las Cruces,New Mexico,USA
WWE-4400,2022-06-11,WWE,WWE NXT Live,WWE NXT Live,Non-Televised,"Largo, Florida, USA",Largo,Florida,USA
